Equilibrium Type,Adjudication Mode,Cost Misestimation,Costs Multiplier,Court Noise,Damages Multiplier,Fee Shifting Multiplier,Issue,Liability Threshold,Noise Multiplier D,Noise Multiplier P,Num Signals and Offers,Proportion of Costs at Beginning,Relative Costs,Risk Aversion,Unit Precaution Cost,Wrongful Attribution Probability,Filter,GroupName,OptionSetName,Exploitability,Calculation Time,P Files,D Answers,P Offer,D Offer,Trial,P Win Probability,P Wealth,D Wealth,Total Wealth,Wealth Loss,P Welfare,D Welfare,Pre-Dispute Social Welfare Loss,Social Welfare Loss,Opportunity Cost,Harm Cost,Truly Liable Harm Cost,Truly Not Liable Harm Cost,Expenditures,False Positive Inaccuracy,False Negative Inaccuracy,Value If Settled,No Suit,No Answer,Settles,P Abandons,D Defaults,P Loses,P Wins,Appropriation,Engages in Activity,Accident Occurs,Wrongful Attribution,Precaution Power,Precaution Level,Benefit-Cost Ratio,Precaution Power 1,Precaution Power 2,Precaution Power 3,Precaution Power 4,Precaution Power 5,Precaution Power 6,Precaution Power 7,Precaution Power 8
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,All,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,6.1468E-05,6.14683E-05,0.0625,0.0625,0,,9.99994,9.99992,19.9999,0.000137615,1000,1000,0.000121444,0.000127591,7E-05,5.14441E-05,0,5.14441E-05,6.14683E-06,1.0757E-05,0,0.125,0.999939,0,6.14683E-05,0,0,0,0,0,1,6.14683E-05,1.00242E-05,4.5,7,0.146885,0.125001,0.125,0.125,0.124999,0.125,0.125,0.125,0.125001
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Dispute Arises,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,1,1,0.0625,0.0625,0,,9.075,9.82493,18.8999,1.10007,999,999.922,0.836991,0.936991,7E-05,0.836921,0,0.836921,0.1,0.175,0,0.125,0,0,1,0,0,0,0,0,1,1,0.163079,3.95379,7,0.129111,0.18448,0.158657,0.136869,0.121548,0.110504,0.10231,0.0962389,0.0893928
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Not Litigated,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,0,0,,,0,,10,9.99993,19.9999,7E-05,1000,1000,7E-05,7E-05,7E-05,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,4.50003,7,0.146886,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Litigated,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,1,1,0.0625,0.0625,0,,9.075,9.82493,18.8999,1.10007,999,999.922,0.836991,0.936991,7E-05,0.836921,0,0.836921,0.1,0.175,0,0.125,0,0,1,0,0,0,0,0,1,1,0.163079,3.95379,7,0.129111,0.18448,0.158657,0.136869,0.121548,0.110504,0.10231,0.0962389,0.0893928
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Settles,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,1,1,0.0625,0.0625,0,,9.075,9.82493,18.8999,1.10007,999,999.922,0.836991,0.936991,7E-05,0.836921,0,0.836921,0.1,0.175,0,0.125,0,0,1,0,0,0,0,0,1,1,0.163079,3.95379,7,0.129111,0.18448,0.158657,0.136869,0.121548,0.110504,0.10231,0.0962389,0.0893928
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Tried,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Loses,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Wins,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Liable,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Not Liable,,MODRA CM 0.25 CN High Indet DM 2,3.067E-07,755,1,1,0.0625,0.0625,0,,9.075,9.82493,18.8999,1.10007,999,999.922,0.836991,0.936991,7E-05,0.836921,0,0.836921,0.1,0.175,0,0.125,0,0,1,0,0,0,0,0,1,1,0.163079,3.95379,7,0.129111,0.18448,0.158657,0.136869,0.121548,0.110504,0.10231,0.0962389,0.0893928
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,All,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,7.5324E-05,7.5324E-05,0.1875,0.1875,0,,9.99994,9.99994,19.9999,0.000122856,1000,1000,0.000105321,0.000112853,4E-05,6.53211E-05,0,6.53211E-05,7.5324E-06,1.7889E-05,0,0.1875,0.999925,0,7.5324E-05,0,0,0,0,0,1,7.5324E-05,1.00029E-05,4.5,4,0.592495,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Dispute Arises,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,1,1,0.1875,0.1875,0,,9.1375,9.76246,18.9,1.10004,999.139,999.887,0.867241,0.967241,4E-05,0.867201,0,0.867201,0.1,0.2375,0,0.1875,0,0,1,0,0,0,0,0,1,1,0.132799,4.21156,4,0.567868,0.162594,0.143955,0.128479,0.118626,0.112773,0.110183,0.110964,0.112426
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Not Litigated,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,0,0,,,0,,10,9.99996,20,4E-05,1000,1000,4E-05,4E-05,4E-05,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,4.50002,4,0.592497,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Litigated,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,1,1,0.1875,0.1875,0,,9.1375,9.76246,18.9,1.10004,999.139,999.887,0.867241,0.967241,4E-05,0.867201,0,0.867201,0.1,0.2375,0,0.1875,0,0,1,0,0,0,0,0,1,1,0.132799,4.21156,4,0.567868,0.162594,0.143955,0.128479,0.118626,0.112773,0.110183,0.110964,0.112426
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Settles,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,1,1,0.1875,0.1875,0,,9.1375,9.76246,18.9,1.10004,999.139,999.887,0.867241,0.967241,4E-05,0.867201,0,0.867201,0.1,0.2375,0,0.1875,0,0,1,0,0,0,0,0,1,1,0.132799,4.21156,4,0.567868,0.162594,0.143955,0.128479,0.118626,0.112773,0.110183,0.110964,0.112426
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Tried,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Loses,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Wins,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Liable,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Not Liable,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,8.888E-08,740,1,1,0.1875,0.1875,0,,9.1375,9.76246,18.9,1.10004,999.139,999.887,0.867241,0.967241,4E-05,0.867201,0,0.867201,0.1,0.2375,0,0.1875,0,0,1,0,0,0,0,0,1,1,0.132799,4.21156,4,0.567868,0.162594,0.143955,0.128479,0.118626,0.112773,0.110183,0.110964,0.112426
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,All,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,7.5324E-05,7.5324E-05,0.0625,0.0625,0,,9.99993,9.99995,19.9999,0.000122856,1000,1000,0.000105321,0.000112853,4E-05,6.53211E-05,0,6.53211E-05,7.5324E-06,8.4739E-06,0,0.0625,0.999925,0,7.5324E-05,0,0,0,0,0,1,7.5324E-05,1.00029E-05,4.5,4,0.592495,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Dispute Arises,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,1,1,0.0625,0.0625,0,,9.0125,9.88746,18.9,1.10004,998.842,999.953,0.867241,0.967241,4E-05,0.867201,0,0.867201,0.1,0.1125,0,0.0625,0,0,1,0,0,0,0,0,1,1,0.132799,4.21156,4,0.567868,0.162594,0.143955,0.128479,0.118626,0.112773,0.110183,0.110964,0.112426
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Not Litigated,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,0,0,,,0,,10,9.99996,20,4E-05,1000,1000,4E-05,4E-05,4E-05,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,4.50002,4,0.592497,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Litigated,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,1,1,0.0625,0.0625,0,,9.0125,9.88746,18.9,1.10004,998.842,999.953,0.867241,0.967241,4E-05,0.867201,0,0.867201,0.1,0.1125,0,0.0625,0,0,1,0,0,0,0,0,1,1,0.132799,4.21156,4,0.567868,0.162594,0.143955,0.128479,0.118626,0.112773,0.110183,0.110964,0.112426
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Settles,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,1,1,0.0625,0.0625,0,,9.0125,9.88746,18.9,1.10004,998.842,999.953,0.867241,0.967241,4E-05,0.867201,0,0.867201,0.1,0.1125,0,0.0625,0,0,1,0,0,0,0,0,1,1,0.132799,4.21156,4,0.567868,0.162594,0.143955,0.128479,0.118626,0.112773,0.110183,0.110964,0.112426
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Tried,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Loses,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Wins,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Liable,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only Eq,Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Not Liable,,MODRA CM 0.25 CN High Indet FSM 1,2.544E-07,738,1,1,0.0625,0.0625,0,,9.0125,9.88746,18.9,1.10004,998.842,999.953,0.867241,0.967241,4E-05,0.867201,0,0.867201,0.1,0.1125,0,0.0625,0,0,1,0,0,0,0,0,1,1,0.132799,4.21156,4,0.567868,0.162594,0.143955,0.128479,0.118626,0.112773,0.110183,0.110964,0.112426
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,All,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,8.5671E-05,8.56707E-05,0.0649331,0.0625,8.338E-07,0.436317,9.99992,9.99997,19.9999,0.00011928,1000,1000,0.000100665,0.000109274,2.5E-05,7.56649E-05,9.15701E-06,6.65079E-05,8.60876E-06,8.6837E-06,1.0372E-05,0.0625,0.999914,0,8.4837E-05,0,0,4.69997E-07,3.638E-07,0,1,8.56707E-05,1.00058E-05,4.5,2.5,0.757695,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Dispute Arises,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,1,1,0.0649331,0.0625,0.009733,0.436317,9.01571,9.88378,18.8995,1.10051,998.843,999.945,0.88323,0.983717,2.45082E-05,0.883206,0.106886,0.77632,0.100487,0.101361,0.121066,0.0625,0,0,0.990267,0,0,0.00548609,0.0042465,0,1,1,0.116794,4.2542,2.45082,0.738476,0.156329,0.141734,0.12889,0.120021,0.113975,0.111094,0.11245,0.115507
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Not Litigated,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,0,0,,,0,,10,9.99997,20,2.5E-05,1000,1000,2.5E-05,2.5E-05,2.5E-05,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,4.50002,2.5,0.757697,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Litigated,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,1,1,0.0649331,0.0625,0.009733,0.436317,9.01571,9.88378,18.8995,1.10051,998.843,999.945,0.88323,0.983717,2.45082E-05,0.883206,0.106886,0.77632,0.100487,0.101361,0.121066,0.0625,0,0,0.990267,0,0,0.00548609,0.0042465,0,1,1,0.116794,4.2542,2.45082,0.738476,0.156329,0.141734,0.12889,0.120021,0.113975,0.111094,0.11245,0.115507
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Settles,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,1,1,0.0625,0.0625,0,,9.0125,9.88748,18.9,1.10002,998.842,999.953,0.883211,0.983211,2.45525E-05,0.883186,0.104749,0.778437,0.1,0.0988349,0.119949,0.0625,0,0,1,0,0,0,0,0,1,1,0.116814,4.23663,2.45525,0.736155,0.157863,0.143103,0.129982,0.120385,0.112938,0.109146,0.111152,0.115431
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Tried,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,1,1,0.3125,0.0625,1,0.436317,9.34221,9.50777,18.85,1.15002,998.898,999.153,0.885227,1.03523,2E-05,0.885207,0.324322,0.560884,0.15,0.358369,0.23474,,0,0,0,0,0,0.563683,0.436317,0,1,1,0.114793,6.041,2,0.974625,0.000257405,0.00246568,0.0177636,0.0830254,0.219476,0.309267,0.244517,0.123228
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Loses,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,1,1,0.3125,0.0625,1,0,8.775,10.075,18.85,1.15002,998.024,1000.03,0.885463,1.03546,2E-05,0.885443,0.299819,0.585624,0.15,0,0.41644,,0,0,0,0,0,1,0,0,1,1,0.114557,5.94875,2,0.965717,0.000345678,0.00317691,0.0216502,0.0946537,0.233081,0.307141,0.229372,0.110579
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,P Wins,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,1,1,0.3125,0.0625,1,1,10.075,8.77498,18.85,1.15002,1000.03,998.024,0.884921,1.03492,2E-05,0.884901,0.355979,0.528923,0.15,0.821349,0,,0,0,0,0,0,0,1,0,1,1,0.115099,6.16018,2,0.986133,0.000143365,0.00154682,0.0127425,0.0680027,0.201901,0.312013,0.264082,0.139569
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Liable,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,1,1,0.0697238,0.0625,0.028895,0.478919,9.02363,9.8749,18.8985,1.10147,998.846,999.927,0.86296,0.964405,2.91108E-05,0.862931,0.862931,0,0.101445,0.0031137,0.97741,0.0625,0,0,0.971105,0,0,0.0150568,0.0138386,0,1,1,0.137069,7.93253,2.91108,1.04006,0,0,0,0,0,0,0.0674688,0.932531
Only Eq,Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,Truly Not Liable,,MODRA CM 0.25 CN High Indet FSM 2,4.332E-08,731,1,1,0.0642559,0.0625,0.007023,0.411538,9.01459,9.88504,18.8996,1.10038,998.842,999.948,0.886096,0.986447,2.38575E-05,0.886072,0,0.886072,0.100351,0.115251,0,0.0625,0,0,0.992977,0,0,0.00413302,0.0028904,0,1,1,0.113928,3.73417,2.38575,0.69584,0.17843,0.161772,0.147112,0.136989,0.130088,0.1268,0.118809,0
