Adjudication Mode,Cost Misestimation,Costs Multiplier,Court Noise,Damages Multiplier,Fee Shifting Multiplier,Issue,Liability Threshold,Noise Multiplier D,Noise Multiplier P,Num Signals and Offers,Proportion of Costs at Beginning,Relative Costs,Risk Aversion,Unit Precaution Cost,Wrongful Attribution Probability,GroupName,OptionSetName,Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
Baseline,1,0.25,High Both,1,0,Liability,1.2,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Both LT 1.2,0.000072408,3E-05,0,1,0.025,0.025,0.05,0,1.10003
Baseline,1,0.25,High Both,1,0,Liability,1.2,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Both LT 1.2,0.999917593,3E-05,0,0,0,0,0,0,3E-05
Baseline,1,0.25,High Both,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Both UPC 1.2E-05,0.000010000,4.8E-05,0,0,0.025,0.025,0.05,0,0.100048
Baseline,1,0.25,High Both,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Both UPC 1.2E-05,0.000065324,4.8E-05,0,1,0.025,0.025,0.05,0,1.100048
Baseline,1,0.25,High Both,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Both UPC 1.2E-05,0.999924676,4.8E-05,0,0,0,0,0,0,4.8E-05
Baseline,1,0.25,High Both,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,8E-06,Normal,,MODRA CM 0.25 CN High Both UPC 8E-06,0.000010008,5.6E-05,0,0,0.025,0.025,0.05,0,0.100056
Baseline,1,0.25,High Both,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,8E-06,Normal,,MODRA CM 0.25 CN High Both UPC 8E-06,0.000051460,5.6E-05,0,1,0.025,0.025,0.05,0,1.100056
Baseline,1,0.25,High Both,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,8E-06,Normal,,MODRA CM 0.25 CN High Both UPC 8E-06,0.999938532,5.6E-05,0,0,0,0,0,0,5.6E-05
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000006124,0,0,0,0.025,0.025,0.05,0,0.1
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000047116,0,0,1,0.025,0.025,0.05,0,1.1
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000014128,0,1,0,0.025,0.025,0.05,0,1.1
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000000224,0,0,0,0.025,0.025,0.05,0.05,0.15
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000000111,0,0,1,0.025,0.025,0.05,0.05,1.15
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000002133,0,1,0,0.025,0.025,0.05,0.05,1.15
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.634806330,0,0,0,0,0,0,0,0
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000003655,1E-05,0,0,0.025,0.025,0.05,0,0.10001
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000006201,1E-05,0,1,0.025,0.025,0.05,0,1.10001
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.000025774,1E-05,1,0,0.025,0.025,0.05,0,1.10001
Baseline,1,0.25,High Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 0.5,0.365088204,1E-05,0,0,0,0,0,0,1E-05
Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 2,0.000009227,7E-05,0,0,0.025,0.025,0.05,0,0.10007
Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 2,0.000048263,7E-05,0,1,0.025,0.025,0.05,0,1.10007
Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 2,0.000000797,7E-05,0,0,0.025,0.025,0.05,0.05,0.15007
Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 2,0.000003181,7E-05,0,1,0.025,0.025,0.05,0.05,1.15007
Baseline,1,0.25,High Indet,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet DM 2,0.999938532,7E-05,0,0,0,0,0,0,7E-05
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,0.000009998,2E-05,0,0,0.025,0.025,0.05,0,0.10002
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,0.000060911,2E-05,0,1,0.025,0.025,0.05,0,1.10002
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,0.000019670,2E-05,1,0,0.025,0.025,0.05,0,1.10002
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 0 DM 1 LT 1 UPC 1E-05,0.999909420,2E-05,0,0,0,0,0,0,2E-05
Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 1,0.000010003,4E-05,0,0,0.025,0.025,0.05,0,0.10004
Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 1,0.000065321,4E-05,0,1,0.025,0.025,0.05,0,1.10004
Baseline,1,0.25,High Indet,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 1,0.999924676,4E-05,0,0,0,0,0,0,4E-05
Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 2,0.000010000,3E-05,0,0,0.025,0.025,0.05,0,0.10003
Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 2,0.000063913,3E-05,0,1,0.025,0.025,0.05,0,1.10003
Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 2,0.000008494,3E-05,1,0,0.025,0.025,0.05,0,1.10003
Baseline,1,0.25,High Indet,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet FSM 2,0.999917593,3E-05,0,0,0,0,0,0,3E-05
Baseline,1,0.25,High Indet,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 0.8,0.000006320,6E-05,0,0,0.025,0.025,0.05,0,0.10006
Baseline,1,0.25,High Indet,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 0.8,0.000039035,6E-05,0,1,0.025,0.025,0.05,0,1.10006
Baseline,1,0.25,High Indet,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 0.8,0.634830811,6E-05,0,0,0,0,0,0,6E-05
Baseline,1,0.25,High Indet,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 0.8,0.000003675,4E-05,0,0,0.025,0.025,0.05,0,0.10004
Baseline,1,0.25,High Indet,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 0.8,0.000008731,4E-05,0,1,0.025,0.025,0.05,0,1.10004
Baseline,1,0.25,High Indet,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 0.8,0.000012058,4E-05,1,0,0.025,0.025,0.05,0,1.10004
Baseline,1,0.25,High Indet,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 0.8,0.365099371,4E-05,0,0,0,0,0,0,4E-05
Baseline,1,0.25,High Indet,1,0,Liability,1.2,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 1.2,0.000010000,3E-05,0,0,0.025,0.025,0.05,0,0.10003
Baseline,1,0.25,High Indet,1,0,Liability,1.2,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 1.2,0.000072407,3E-05,0,1,0.025,0.025,0.05,0,1.10003
Baseline,1,0.25,High Indet,1,0,Liability,1.2,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Indet LT 1.2,0.999917593,3E-05,0,0,0,0,0,0,3E-05
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Indet UPC 1.2E-05,0.000009998,1.2E-05,0,0,0.025,0.025,0.05,0,0.100012
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Indet UPC 1.2E-05,0.000078007,1.2E-05,0,1,0.025,0.025,0.05,0,1.100012
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Indet UPC 1.2E-05,0.000011786,1.2E-05,1,0,0.025,0.025,0.05,0,1.100012
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Indet UPC 1.2E-05,0.999900209,1.2E-05,0,0,0,0,0,0,1.2E-05
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,8E-06,Normal,,MODRA CM 0.25 CN High Indet UPC 8E-06,0.000010008,4E-05,0,0,0.025,0.025,0.05,0,0.10004
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,8E-06,Normal,,MODRA CM 0.25 CN High Indet UPC 8E-06,0.000059391,4E-05,0,1,0.025,0.025,0.05,0,1.10004
Baseline,1,0.25,High Indet,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,8E-06,Normal,,MODRA CM 0.25 CN High Indet UPC 8E-06,0.999930601,4E-05,0,0,0,0,0,0,4E-05
Baseline,1,0.25,High Noise,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise DM 0.5,0.000009999,0,0,0,0.025,0.025,0.05,0,0.1
Baseline,1,0.25,High Noise,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise DM 0.5,0.000050001,0,0,1,0.025,0.025,0.05,0,1.1
Baseline,1,0.25,High Noise,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise DM 0.5,0.000049999,0,1,0,0.025,0.025,0.05,0,1.1
Baseline,1,0.25,High Noise,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise DM 0.5,0.999890001,0,0,0,0,0,0,0,0
Baseline,1,0.25,High Noise,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise DM 2,0.000010000,4E-05,0,0,0.025,0.025,0.05,0,0.10004
Baseline,1,0.25,High Noise,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise DM 2,0.000065324,4E-05,0,1,0.025,0.025,0.05,0,1.10004
Baseline,1,0.25,High Noise,2,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise DM 2,0.999924676,4E-05,0,0,0,0,0,0,4E-05
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 0 DM 1 LT 1 UPC 1E-05,0.000010000,4E-05,0,0,0.025,0.025,0.05,0,0.10004
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 0 DM 1 LT 1 UPC 1E-05,0.000065324,4E-05,0,1,0.025,0.025,0.05,0,1.10004
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 0 DM 1 LT 1 UPC 1E-05,0.999924676,4E-05,0,0,0,0,0,0,4E-05
Baseline,1,0.25,High Noise,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 1,0.000009999,3E-05,0,0,0.025,0.025,0.05,0,0.10003
Baseline,1,0.25,High Noise,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 1,0.000064313,3E-05,0,1,0.025,0.025,0.05,0,1.10003
Baseline,1,0.25,High Noise,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 1,0.000008094,3E-05,1,0,0.025,0.025,0.05,0,1.10003
Baseline,1,0.25,High Noise,1,1,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 1,0.999917593,3E-05,0,0,0,0,0,0,3E-05
Baseline,1,0.25,High Noise,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 2,0.000009999,2E-05,0,0,0.025,0.025,0.05,0,0.10002
Baseline,1,0.25,High Noise,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 2,0.000061499,2E-05,0,1,0.025,0.025,0.05,0,1.10002
Baseline,1,0.25,High Noise,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 2,0.000019083,2E-05,1,0,0.025,0.025,0.05,0,1.10002
Baseline,1,0.25,High Noise,1,2,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise FSM 2,0.999909420,2E-05,0,0,0,0,0,0,2E-05
Baseline,1,0.25,High Noise,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise LT 0.8,0.000010005,6E-05,0,0,0.025,0.025,0.05,0,0.10006
Baseline,1,0.25,High Noise,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise LT 0.8,0.000054723,6E-05,0,1,0.025,0.025,0.05,0,1.10006
Baseline,1,0.25,High Noise,1,0,Liability,0.8,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise LT 0.8,0.999935272,6E-05,0,0,0,0,0,0,6E-05
Baseline,1,0.25,High Noise,1,0,Liability,1.2,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise LT 1.2,0.000009999,2E-05,0,0,0.025,0.025,0.05,0,0.10002
Baseline,1,0.25,High Noise,1,0,Liability,1.2,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise LT 1.2,0.000080581,2E-05,0,1,0.025,0.025,0.05,0,1.10002
Baseline,1,0.25,High Noise,1,0,Liability,1.2,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN High Noise LT 1.2,0.999909420,2E-05,0,0,0,0,0,0,2E-05
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Noise UPC 1.2E-05,0.000009999,1.2E-05,0,0,0.025,0.025,0.05,0,0.100012
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Noise UPC 1.2E-05,0.000078541,1.2E-05,0,1,0.025,0.025,0.05,0,1.100012
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Noise UPC 1.2E-05,0.000011251,1.2E-05,1,0,0.025,0.025,0.05,0,1.100012
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1.2E-05,Normal,,MODRA CM 0.25 CN High Noise UPC 1.2E-05,0.999900209,1.2E-05,0,0,0,0,0,0,1.2E-05
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,8E-06,Normal,,MODRA CM 0.25 CN High Noise UPC 8E-06,0.000010002,4E-05,0,0,0.025,0.025,0.05,0,0.10004
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,8E-06,Normal,,MODRA CM 0.25 CN High Noise UPC 8E-06,0.000059397,4E-05,0,1,0.025,0.025,0.05,0,1.10004
Baseline,1,0.25,High Noise,1,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,8E-06,Normal,,MODRA CM 0.25 CN High Noise UPC 8E-06,0.999930601,4E-05,0,0,0,0,0,0,4E-05
Baseline,1,0.25,Low Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN Low Indet DM 0.5,0.365087370,1E-05,0,0,0,0,0,0,1E-05
Baseline,1,0.25,Low Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN Low Indet DM 0.5,0.000007483,1E-05,0,1,0,0,0,0,1.00001
Baseline,1,0.25,Low Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN Low Indet DM 0.5,0.000002160,1E-05,0,0,0.025,0.025,0.05,0,0.10001
Baseline,1,0.25,Low Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN Low Indet DM 0.5,0.000019533,1E-05,0,1,0.025,0.025,0.05,0,1.10001
Baseline,1,0.25,Low Indet,0.5,0,Liability,1,1,1,Baseline,0.5,1,Moderately Risk Averse,1E-05,Normal,,MODRA CM 0.25 CN Low Indet DM 0.5,0.000000361,1E-05,1,0,0.025,0.025,0.05,0,1.10001
