"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","Liability Strength5",0.125,0.999915,8.50574E-05,0.9,8.5057E-5,0,1,8.50574E-05,9.3463E-06,5,2.50775,0.761012,0,0,0,0,1,0,0,0,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99993,19.9999,0.000144158,1000,1000,3.4023E-05,1.5168E-5,4.925E-05,6.44176E-5,7.58379E-06,4.4325E-05,0.000100789,0.000134812,2.50775E-05,7.57111E-05,4.9748E-05,2.59631E-05,0,0,,0,0,0,0.643357,0,-0.0973086,0.126694,0.194973,0.238841,0.247054,0.192437,0.0330515,0.176261,0.372375,0.313388,0.104925,8.50574E-5,0,0.999915,8.50574E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PLiabilitySignal1",0.1774,0.999901,9.89477E-05,0.491165,9.8948E-5,0,1,9.89477E-05,9.96539E-06,2.95582,2.3537,0.596509,0.258122,0.227225,0.184796,0.135614,0.0892847,0.0540039,0.0316731,0.019281,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99993,19.9998,0.000162064,1000,1000,3.95791E-05,4.8896E-5,1.041E-06,4.99365E-5,2.44478E-05,9.36863E-07,0.000112519,0.000152098,2.3537E-05,8.89823E-05,1.05056E-06,8.79317E-05,0,0,,0,0,0,0.0116892,0,-0.8369,1,0,0,0,0,0.43505,0.354101,0.158144,0.0443088,0.00839623,9.89477E-5,0,0.999901,9.89477E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PLiabilitySignal2",0.2148,0.999904,9.6386E-05,0.605195,9.6386E-5,0,1,9.6386E-05,9.96738E-06,3.52597,2.39471,0.640926,0.195548,0.185834,0.168904,0.143757,0.113452,0.0843299,0.0616225,0.0465523,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99993,19.9998,0.000158887,1000,1000,3.85544E-05,4.4022E-5,7.5086E-6,5.15301E-5,2.20108E-05,6.75772E-06,0.000110366,0.00014892,2.39471E-05,8.64186E-05,7.57084E-06,7.88478E-05,0,0,,0,0,0,0.0865568,0,-0.271057,0,1,0,0,0,0.292378,0.328316,0.231762,0.110959,0.0365854,9.6386E-05,0,0.999904,9.6386E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PLiabilitySignal3",0.2156,0.999908,9.19096E-05,0.800001,9.191E-05,0,1,9.19096E-05,1.00058E-05,4.5,2.49703,0.712393,0.110334,0.120216,0.130989,0.138462,0.138461,0.130988,0.120216,0.110335,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99993,19.9998,0.000153644,1000,1000,3.67639E-05,3.0507E-5,2.7806E-5,5.8313E-05,1.52536E-05,2.50253E-05,0.000106874,0.000143638,2.49703E-05,8.19038E-05,2.79914E-05,5.39124E-05,0,0,,0,0,0,0.33615,0,0,0,0,1,0,0,0.130092,0.2309,0.278017,0.2309,0.130092,9.19096E-5,0,0.999908,9.19096E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PLiabilitySignal4",0.2148,0.999913,8.68519E-05,0.994806,8.6852E-5,0,1,8.68519E-05,1.00531E-05,5.47403,2.63769,0.778655,0.0465518,0.0616222,0.08433,0.113453,0.143757,0.168904,0.185833,0.195548,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99993,19.9999,0.00014797,1000,1000,3.47407E-05,1.5618E-5,5.0055E-5,6.56724E-5,7.80893E-06,4.50491E-05,0.000103176,0.000137916,2.63769E-05,7.67988E-05,5.02791E-05,2.65196E-05,0,0,,0,0,0,0.640356,0,0.271057,0,0,0,1,0,0.0365854,0.110959,0.231762,0.328316,0.292378,8.68519E-5,0,0.999913,8.68519E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","PLiabilitySignal5",0.1774,0.999917,8.33317E-05,1.10883,8.3332E-5,0,1,8.33317E-05,1.00599E-05,6.04417,2.7414,0.814546,0.0192808,0.031673,0.054004,0.0892853,0.135615,0.184798,0.227225,0.258119,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99993,19.9999,0.000144078,1000,1000,3.33327E-05,9.147E-06,5.8534E-5,6.7681E-05,4.57348E-06,5.26806E-05,0.000100686,0.000134018,2.7414E-05,7.32718E-05,5.86771E-05,1.45947E-05,0,0,,0,0,0,0.780469,0,0.8369,0,0,0,0,1,0.00839623,0.0443088,0.158144,0.354101,0.43505,8.33317E-5,0,0.999917,8.33317E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","DLiabilitySignal1",0.1774,0.999901,9.91397E-05,0.297722,9.914E-05,0,1,9.91397E-05,9.9655E-06,1.98861,2.33333,0.513874,0.426447,0.299283,0.170672,0.0739433,0.0232922,0.00532003,0.000915964,0.000126621,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99993,19.9998,0.000162129,1000,1000,3.96559E-05,4.8795E-5,1.395E-06,5.01899E-5,2.43974E-05,1.25549E-06,0.000112508,0.000152163,2.33333E-05,8.91742E-05,1.40909E-06,8.77652E-05,0,0,,0,0,0,0.0156343,0,0.8369,0.43505,0.354101,0.158144,0.0443088,0.00839623,1,0,0,0,0,9.91397E-5,0,0.999901,9.91397E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","DLiabilitySignal2",0.2148,0.999903,9.70329E-05,0.494901,9.7033E-5,0,1,9.70329E-05,9.96709E-06,2.97451,2.33333,0.602101,0.187025,0.233312,0.236461,0.182356,0.102564,0.0419999,0.0130244,0.00325787,1,1,,,,,0,,,,,0,0,0,,9.99991,9.99993,19.9998,0.000159179,1000,1000,3.88132E-05,4.324E-05,9.4977E-6,5.27377E-5,2.162E-05,8.54789E-06,0.000110399,0.000149212,2.33333E-05,8.70659E-05,9.59368E-06,7.74722E-05,0,0,,0,0,0,0.108756,0,0.271057,0.292378,0.328316,0.231762,0.110959,0.0365854,0,1,0,0,0,9.70329E-5,0,0.999903,9.70329E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","DLiabilitySignal3",0.2156,0.999906,9.37986E-05,0.8,9.3799E-5,0,1,9.37986E-05,1.00037E-05,4.5,2.33333,0.733517,0.0392469,0.0873559,0.157523,0.215874,0.215874,0.157523,0.0873559,0.0392469,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99993,19.9998,0.000154651,1000,1000,3.75194E-05,2.8579E-5,3.2977E-5,6.15559E-5,1.42893E-05,2.96796E-05,0.000107128,0.000144648,2.33333E-05,8.37949E-05,3.33107E-05,5.04842E-05,0,0,,0,0,0,0.390639,0,0,0.130092,0.2309,0.278017,0.2309,0.130092,0,0,1,0,0,9.37986E-5,0,0.999906,9.37986E-05,0,0,0,0,0
"MODRA CM 4 PCPM 10 DM 0.5","6.425E-09","0.8792","77","DLiabilitySignal4",0.2148,0.999913,8.66295E-05,1.1051,8.6629E-5,0,1,8.66295E-05,1.0052E-05,6.02549,2.66667,0.823688,0.00325786,0.0130244,0.0419999,0.102564,0.182356,0.236461,0.233312,0.187025,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99993,19.9999,0.000147948,1000,1000,3.46518E-05,1.6535E-5,4.8203E-5,6.47385E-5,8.26753E-06,4.33831E-05,0.000103244,0.000137896,2.66667E-05,7.65775E-05,4.84243E-05,2.81531E-05,0,0,,0,0,0,0.618258,0,-0.271057,0.0365854,0.110959,0.231762,0.328316,0.292378,0,0,0,1,0,8.66295E-5,0,0.999913,8.66295E-05,0,0,0,0,0
