"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","PrePrimary6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","PrePrimary7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","PrePrimary8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","PrePrimary9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","PrePrimary10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","Truly Liable",2.9E-5,0,1,1.36379,0.262802,0.0154733,1,1,0.0995123,7.31896,0.726244,1.29286,0,0,0,0,0,0.121222,0.438596,0.440182,1,1,0.205479,0.1,,,0.0122071,,,,,0,0,0.003266,0.623591,9.13797,9.73572,18.8737,1.12631,9.13797,9.73571,0.126302,0.00269,0.86203,0.86472,0.00298207,0.820933,0.900495,1.0268,7.26244E-06,0.900488,0.900488,0,0,0.0122071,0.1,0,0,0,1,0,0.0539323,0.00124897,0.0197242,0.130023,0.37182,0.477183,0.00154484,0.0226974,0.141737,0.392222,0.441799,0.262802,0.0154733,0.737198,0.247329,0.0122071,0,0,0.0012294,0.0020367
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","Truly Not Liable",7.3E-5,0,1,0.561667,0.114888,0.0534843,1,1,0.09685,3.30833,0.69718,0.875028,0.194269,0.179695,0.167816,0.164696,0.168701,0.124822,0,0,1,1,0.114846,0.1,,,0.0518953,,,,,0,0,0.001589,0.266955,8.99903,9.88955,18.8886,1.11141,8.99903,9.88955,0.111408,0.11044,0,0.11044,0.107169,0,0.903157,1.01456,6.9718E-06,0.90315,0,0.90315,0,0.0518953,0.1,0,0,0,0,0,-0.0134326,0.254842,0.298618,0.25066,0.146658,0.0492219,0.254793,0.297826,0.2475,0.142119,0.0577625,0.114888,0.0534843,0.885112,0.0614036,0.0518953,0,0,0.00116481,0.0004242
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","Liability Strength1",0.125,0.999887,0.000113417,0.1,2.5494E-6,2.43665E-06,1,0.000113417,1.07991E-05,1,0.666727,0.59694,1,0,0,0,0,0,0,0,1,1,0.100407,0.1,,,2.43467E-06,,,,,0,0,1.985E-9,0.00777876,9.99988,9.99999,19.9999,0.000124029,9.99988,9.99999,3.94532E-06,2.3063E-6,0,2.30631E-6,2.08771E-06,0,0.000109285,0.00011323,6.66727E-06,0.000102618,0,0.000102618,0,2.43467E-6,0.1,0,0,0,0,0,0.591806,0.366269,0.336054,0.190318,0.0799999,0.0273587,0.605116,0.321408,0.0676985,0.00559868,0.000179669,2.54937E-6,2.43665E-06,0.999997,1.12714E-07,2.43467E-06,0,0,1.9694E-09,1.544E-11
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","Liability Strength2",0.125,0.999895,0.000104909,0.3,5.9445E-6,5.18428E-06,1,0.000104909,1.00204E-05,2,0.6671,0.728268,0,1,0,0,0,0,0,0,1,1,0.101498,0.1,,,5.16874E-06,,,,,0,0,1.554E-8,0.0281992,9.99989,9.99999,19.9999,0.000120191,9.99989,9.99999,8.61138E-06,5.4312E-6,0,5.43121E-6,4.9708E-06,0,0.000101559,0.000110171,6.671E-06,9.48882E-05,0,9.48882E-05,0,5.16874E-6,0.1,0,0,0,0,0,0.456892,0.32243,0.319362,0.207366,0.105899,0.044943,0.424678,0.400955,0.150685,0.0223828,0.00129972,5.94453E-6,5.18428E-06,0.999994,7.60252E-07,5.16874E-06,0,0,1.50995E-8,4.381E-10
"Risk Neutral CM 4 PCPM 10 LT 1.2","2.622E-07","0.9418","281","Liability Strength3",0.125,0.999902,9.7974E-05,0.5,1.1955E-5,8.32193E-06,1,9.7974E-05,9.40341E-06,3,0.669183,0.85206,0,0,1,0,0,0,0,0,1,1,0.105257,0.1,,,8.23439E-06,,,,,0,0,8.754E-8,0.0819017,9.9999,9.99998,19.9999,0.000119504,9.9999,9.99998,1.48385E-05,1.1157E-5,0,1.11567E-5,1.04538E-05,0,9.52624E-05,0.000110101,6.69183E-06,8.85706E-05,0,8.85706E-05,0,8.23439E-6,0.1,0,0,0,0,0,0.286922,0.262224,0.29027,0.225951,0.144924,0.0766304,0.242182,0.406369,0.271721,0.0721786,0.00754902,1.19555E-5,8.32193E-06,0.999988,3.63355E-06,8.23439E-06,0,0,8.03707E-8,7.1697E-9
